"Date","KES"
2023-08-01,10828.13
2023-08-02,10811.5
2023-08-03,10570.42
2023-08-04,10587.92
2023-08-05,10603.42
2023-08-06,10526.21
2023-08-07,10503.17
2023-08-08,10448.54
2023-08-09,10490.46
2023-08-10,10286.08
2023-08-11,10252.71
2023-08-12,10241.58
2023-08-13,10242.42
2023-08-14,10239.54
2023-08-15,10234.29
2023-08-16,10058.54
2023-08-17,10018.67
2023-08-18,9946.92
2023-08-19,9574.38
2023-08-20,9644.79
2023-08-21,9615.13
2023-08-22,9268.04
2023-08-23,9114.29
2023-08-24,9104.71
2023-08-25,9109.17
2023-08-26,9110.25
2023-08-27,9101.46
2023-08-28,9106.13
2023-08-29,9109.25
2023-08-30,8910.25
2023-08-31,8648.42
2023-09-01,8396.5
2023-09-02,8222.08
2023-09-03,8000.33
2023-09-04,7993
2023-09-05,7995
2023-09-06,8004
