"Date","KWK"
2023-08-01,11432.13
2023-08-02,11407.67
2023-08-03,10963.13
2023-08-04,10923.54
2023-08-05,10910.46
2023-08-06,10862.38
2023-08-07,10936.21
2023-08-08,10883
2023-08-09,10963.17
2023-08-10,10770.08
2023-08-11,10741.58
2023-08-12,10742.25
2023-08-13,10762.5
2023-08-14,10642.58
2023-08-15,10486.71
2023-08-16,10246.25
2023-08-17,10181.25
2023-08-18,10157.21
2023-08-19,9863.13
2023-08-20,9955.88
2023-08-21,9963.79
2023-08-22,9654.25
2023-08-23,9464.29
2023-08-24,9444.04
2023-08-25,9475.25
2023-08-26,9527.25
2023-08-27,9573.54
2023-08-28,9658.42
2023-08-29,9721.96
2023-08-30,9572.29
2023-08-31,9330
2023-09-01,9157.04
2023-09-02,9044.04
2023-09-03,8949.92
2023-09-04,9005
2023-09-05,8371
2023-09-06,7670
2023-09-07,7727
2023-09-12,7252
2023-09-13,7291
