Date,KES_Flow
8/1/2023,10851
8/2/2023,10781
8/3/2023,10567
8/4/2023,10603
8/5/2023,10588
8/6/2023,10530
8/7/2023,10497
8/8/2023,10450
8/9/2023,10492
8/10/2023,10284
8/11/2023,10242
8/12/2023,10243
8/13/2023,10241
8/14/2023,10240
8/15/2023,10236
8/16/2023,10054
8/17/2023,10000
8/18/2023,10000
8/19/2023,9750
8/20/2023,9750
8/21/2023,9750
8/22/2023,9750
8/23/2023,9750
8/24/2023,9750
8/25/2023,9750
8/26/2023,9750
8/27/2023,9750
8/28/2023,9750
8/29/2023,9750
8/30/2023,9750
8/31/2023,9750
